broker, nTopics, nNotifications, nSubscriptions, msgSize, notificationFreq, Avg. Throughput, Avg. Delay, Avg. CPU(ns), Avg. CPU(%), Avg. Memory(B), rxBytes, rxPackets, txBytes, txPackets
rabbitmq-broker,100,100000,1000,100,30000,9611,1072.0,2.9005049889E10,416.214,4.05379e+06,1.8202966E7,117535.0,1.16847369E8,126379.0
rabbitmq-broker,100,100000,1000,100,30000,9281,993.0,2.953620271E10,461.123,4.39878e+06,1.7793261E7,118265.0,1.13768983E8,123743.0
rabbitmq-broker,100,100000,5000,100,30000,2257,8435.0,1.22912816125E11,523.441,1.26406e+07,3.7114098E7,393117.0,5.35539776E8,423904.0
rabbitmq-broker,100,100000,5000,100,30000,2246,8299.0,1.25440403444E11,522.111,1.22612e+07,3.7759056E7,401323.0,5.44904356E8,432668.0
rabbitmq-broker,100,100000,5000,100,30000,2243,8101.0,1.25711978653E11,513.576,1.16535e+07,3.7878365E7,403567.0,5.48883235E8,434474.0
rabbitmq-broker,100,100000,10000,100,30000,1084,18842.0,2.49897724565E11,512.156,2.41981e+07,5.5421466E7,653745.0,1.106648176E9,804920.0
rabbitmq-broker,100,100000,10000,100,30000,1083,19010.0,2.5133016018E11,518.476,2.3283e+07,5.6265336E7,666562.0,1.105915647E9,804837.0
rabbitmq-broker,100,100000,10000,100,30000,1080,17408.0,2.53245198765E11,524.555,2.44076e+07,5.4923618E7,649031.0,1.10494087E9,798182.0
rabbitmq-broker,100,100000,20000,100,30000,503,46424.0,5.25555212919E11,508.729,4.6307e+07,9.6251336E7,1246471.0,2.191662499E9,1485460.0
rabbitmq-broker,100,100000,20000,100,30000,493,41826.0,5.32311060493E11,505.735,4.25264e+07,9.7322461E7,1268794.0,2.176508141E9,1489376.0
rabbitmq-broker,100,100000,20000,100,30000,503,41768.0,5.16506008375E11,499.363,4.43097e+07,9.4577314E7,1228346.0,2.169463769E9,1465753.0
rabbitmq-broker,100,100000,40000,100,30000,213,135589.0,1.237364265856E12,507.516,8.44327e+07,2.08303302E8,2903266.0,4.490052068E9,3005970.0
rabbitmq-broker,100,100000,40000,100,30000,220,131563.0,1.20027197708E12,489.283,8.10928e+07,2.08775614E8,2911883.0,4.479358529E9,3004845.0
rabbitmq-broker,100,100000,40000,100,30000,216,96408.0,1.228295205306E12,523.284,8.34143e+07,2.07695119E8,2895302.0,4.532199101E9,3009824.0
